Date,Open,High,Low,Close,Adj Close,Volume
2015-05-01,72.260002,73.330002,71.250000,73.120003,64.186417,6533400
2015-05-04,73.250000,73.589996,72.849998,73.050003,64.124969,4040700
2015-05-05,72.830002,72.970001,71.820000,71.910004,63.124241,3735900
2015-05-06,71.970001,72.279999,71.540001,72.050003,63.247143,3567600
2015-05-07,71.750000,72.290001,71.720001,71.820000,63.045242,3628100
2015-05-08,72.500000,73.699997,72.500000,73.260002,64.309303,3713300
2015-05-11,73.260002,73.989998,73.190002,73.470001,64.493637,2958600
2015-05-12,73.139999,73.139999,72.309998,72.440002,63.589489,3152800
2015-05-13,72.760002,73.230003,72.489998,72.800003,63.905495,2682100
2015-05-14,72.680000,73.220001,72.430000,73.059998,64.577278,3364300
2015-05-15,73.230003,73.419998,72.589996,72.900002,64.435844,3464400
2015-05-18,73.050003,73.089996,72.620003,72.940002,64.471199,2162000
2015-05-19,72.820000,73.580002,72.629997,73.449997,64.921997,3548000
2015-05-20,73.449997,73.690002,73.180000,73.360001,64.842438,1980300
2015-05-21,73.339996,74.349998,73.180000,74.269997,65.646767,3288200
2015-05-22,74.050003,74.330002,73.870003,74.300003,65.673302,3023400
2015-05-26,73.959999,74.370003,73.820000,74.309998,65.682137,4194600
2015-05-27,74.360001,74.989998,74.139999,74.900002,66.203636,2901100
2015-05-28,74.800003,76.480003,74.739998,76.410004,67.538315,4823600
2015-05-29,76.150002,79.550003,76.019997,78.900002,69.739204,11917000
2015-06-01,78.919998,79.849998,78.779999,79.000000,69.827583,4866500
2015-06-02,78.760002,78.760002,77.510002,77.949997,68.899506,4467700
2015-06-03,78.000000,78.169998,77.279999,77.830002,68.793427,3270800
2015-06-04,77.339996,78.599998,77.330002,77.680000,68.660858,3786500
2015-06-05,77.559998,78.260002,76.989998,78.120003,69.049774,2788900
2015-06-08,77.980003,78.849998,77.830002,78.519997,69.403328,6065900
2015-06-09,78.370003,82.889999,78.010002,82.769997,73.159859,10109100
2015-06-10,81.989998,83.489998,81.309998,83.180000,73.522247,13169400
2015-06-11,83.110001,87.239998,83.080002,86.589996,76.536339,16740800
2015-06-12,85.889999,86.000000,83.089996,84.209999,74.432686,12630500
2015-06-15,83.570000,84.610001,83.089996,84.080002,74.317764,5462700
2015-06-16,83.910004,85.320000,83.629997,84.779999,74.936493,5694500
2015-06-17,84.680000,84.680000,83.010002,83.529999,73.831635,5968200
2015-06-18,83.889999,84.370003,82.750000,83.040001,73.398529,7251500
2015-06-19,82.470001,83.209999,82.320000,82.629997,73.036118,6907000
2015-06-22,83.300003,83.440002,82.849998,82.919998,73.292458,3537100
2015-06-23,83.750000,83.750000,82.449997,82.669998,73.071480,3643500
2015-06-24,82.500000,83.080002,82.260002,82.260002,72.709076,4212100
2015-06-25,84.160004,86.900002,84.080002,84.800003,74.954185,9630100
2015-06-26,85.190002,85.930000,84.580002,85.849998,75.882263,14369800
2015-06-29,85.349998,85.580002,83.730003,83.779999,74.052605,4441900
2015-06-30,84.500000,84.570000,83.389999,83.489998,73.796280,4261200
2015-07-01,83.800003,84.959999,83.599998,84.849998,74.998360,3629100
2015-07-02,85.209999,86.239998,84.690002,86.139999,76.138611,5128100
2015-07-06,85.309998,86.440002,85.250000,86.349998,76.324219,5062900
2015-07-07,86.639999,88.779999,86.059998,88.730003,78.427887,6912300
2015-07-08,88.269997,88.500000,87.169998,87.250000,77.119698,5330000
2015-07-09,88.000000,88.309998,86.900002,87.480003,77.323021,4767600
2015-07-10,88.300003,88.459999,87.699997,88.290001,78.038963,4471200
2015-07-13,89.139999,90.180000,88.669998,88.820000,78.507423,5940500
2015-07-14,89.050003,89.099998,87.849998,88.760002,78.454399,6028700
2015-07-15,87.790001,88.169998,86.099998,86.379997,76.350716,6615900
2015-07-16,86.800003,87.459999,86.580002,87.169998,77.048996,5578000
2015-07-17,87.000000,87.440002,86.620003,87.370003,77.225784,4430100
2015-07-20,87.699997,87.919998,87.269997,87.870003,77.667740,4320500
2015-07-21,87.580002,87.690002,85.519997,85.570000,75.634773,8065300
2015-07-22,83.320000,86.800003,81.500000,86.379997,76.350716,12677800
2015-07-23,89.059998,89.870003,85.620003,86.760002,76.686600,5258500
2015-07-24,86.000000,86.209999,84.160004,84.720001,74.883461,3460300
2015-07-27,84.500000,84.610001,83.339996,84.150002,74.379646,5420600
2015-07-28,84.709999,85.699997,84.500000,85.680000,75.732002,3027800
2015-07-29,85.910004,85.989998,84.709999,85.089996,75.210503,2711800
2015-07-30,84.260002,84.970001,83.980003,84.540001,74.724365,3867800
2015-07-31,84.879997,85.260002,84.379997,84.510002,74.697853,4113600
2015-08-03,84.809998,85.000000,83.529999,84.139999,74.370804,4815500
2015-08-04,84.489998,84.989998,83.849998,84.050003,74.291260,2848200
2015-08-05,84.680000,85.080002,83.970001,84.730003,74.892311,3776800
2015-08-06,85.139999,85.139999,81.239998,82.699997,73.097984,3866500
2015-08-07,82.500000,82.690002,80.650002,82.269997,72.717911,4545300
2015-08-10,82.820000,83.769997,82.440002,83.510002,73.813965,3211600
2015-08-11,82.809998,83.750000,82.730003,83.540001,73.840462,3205600
2015-08-12,82.709999,83.500000,81.639999,83.379997,74.142792,2826900
2015-08-13,83.199997,83.750000,82.889999,83.029999,73.831566,2253900
2015-08-14,82.910004,83.949997,82.790001,83.910004,74.614075,2280200
2015-08-17,83.260002,83.779999,82.930000,83.470001,74.222832,2814700
2015-08-18,83.830002,83.989998,83.230003,83.389999,74.151695,2241400
2015-08-19,83.139999,84.529999,82.570000,83.769997,74.489594,2651300
2015-08-20,86.860001,88.949997,85.809998,87.330002,77.655205,10887700
2015-08-21,86.980003,87.699997,84.529999,84.529999,75.165390,8320000
2015-08-24,81.599998,82.959999,79.500000,80.730003,71.786362,8620700
2015-08-25,82.190002,82.599998,77.860001,78.260002,69.590019,6439000
2015-08-26,79.879997,81.300003,77.769997,81.099998,72.115379,7217800
2015-08-27,81.790001,84.040001,81.709999,83.739998,74.462921,4703400
2015-08-28,83.739998,84.000000,82.769997,83.190002,73.973846,4860800
2015-08-31,83.410004,84.419998,82.050003,82.349998,73.226913,3445300
2015-09-01,80.250000,81.250000,79.400002,79.800003,70.959419,4300500
2015-09-02,80.709999,81.830002,80.300003,81.809998,72.746735,3257900
2015-09-03,82.050003,82.860001,81.339996,81.599998,72.560005,3227700
2015-09-04,80.639999,81.110001,79.680000,80.320000,71.421783,3416400
2015-09-08,81.459999,82.980003,81.260002,82.879997,73.698196,2643600
2015-09-09,83.449997,83.500000,80.889999,81.089996,72.106491,2839600
2015-09-10,81.120003,81.669998,80.500000,80.839996,71.884201,3667700
2015-09-11,80.650002,81.849998,78.739998,81.800003,72.737846,3645900
2015-09-14,81.919998,82.279999,81.279999,81.889999,72.817871,3197200
2015-09-15,82.430000,83.360001,82.110001,82.959999,73.769333,3532600
2015-09-16,84.099998,84.529999,82.610001,84.449997,75.094261,3845000
2015-09-17,84.470001,92.849998,84.279999,89.980003,80.011620,16918100
2015-09-18,90.699997,91.449997,88.379997,88.489998,78.686684,11578000
2015-09-21,89.099998,89.809998,87.110001,87.589996,77.886383,6644100
2015-09-22,86.820000,87.980003,86.620003,87.800003,78.073143,5059500
2015-09-23,88.000000,88.419998,86.580002,86.690002,77.086113,4863300
2015-09-24,86.449997,86.540001,85.080002,85.349998,75.894547,5693500
2015-09-25,86.239998,86.430000,83.230003,84.059998,74.747459,5794900
2015-09-28,83.680000,83.860001,78.500000,79.739998,70.906044,8295100
2015-09-29,80.370003,82.199997,79.190002,80.279999,71.386230,7315200
2015-09-30,81.529999,83.769997,81.500000,83.690002,74.418472,6780700
2015-10-01,83.599998,85.320000,83.400002,85.180000,75.743393,5350400
2015-10-02,84.160004,87.550003,83.589996,87.519997,77.824142,5616600
2015-10-05,88.080002,88.480003,85.599998,86.570000,76.979408,5297400
2015-10-06,86.389999,86.510002,82.080002,84.169998,74.845276,5521200
2015-10-07,84.300003,84.849998,82.400002,83.989998,74.685234,5128000
